# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Thu Feb 20 13:06:31 2020
#
# COLUMN epic_name:      EPIC Name
# COLUMN tm_name:        2MASS Designation
# COLUMN epic_candname:  Candidate Name
# COLUMN pl_name:        Planet Name
# COLUMN k2c_refdisp:    Reference Disposition
# COLUMN k2c_reflink:    Reference Link
# COLUMN k2c_disp:       Exoplanet Archive Disposition
# COLUMN k2c_note:       Notes
# COLUMN k2_campaign:    K2 Campaign
# COLUMN k2c_recentflag: Most Recent Flag
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [decimal degrees]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [decimal degrees]
# COLUMN pl_orbper:      Orbital Period [days]
# COLUMN pl_tranmid:     Transit Midpoint [days]
# COLUMN pl_trandep:     Transit Depth [percent]
# COLUMN pl_trandur:     Transit Duration [days]
# COLUMN pl_imppar:      Impact Parameter
# COLUMN pl_orbincl:     Inclination [deg]
# COLUMN pl_ratdor:      Ratio of Distance to Stellar Radius
# COLUMN pl_ratror:      Ratio of Candidate to Stellar Radius
# COLUMN pl_rade:        Candidate Radius [Earth radii]
# COLUMN pl_radj:        Candidate Radius [Jupiter radii]
# COLUMN pl_eqt:         Equilibrium Temperature [K]
# COLUMN pl_fppprob:     False Positive Probability
# COLUMN st_plx:         Parallax [mas]
# COLUMN st_dist:        Distance [pc]
# COLUMN st_teff:        Effective Temperature [K]
# COLUMN st_logg:        Stellar Surface Gravity [log10(cm/s**2)]
# COLUMN st_metfe:       Stellar Metallicity [dex]
# COLUMN st_metratio:    Metallicity Ratio
# COLUMN st_rad:         Stellar Radius [Solar radii]
# COLUMN st_vsini:       Rot. Velocity V*sin(i) [km/s]
# COLUMN st_kep:         Kepler-band [mag]
# COLUMN st_bj:          B-band (Johnson) [mag]
# COLUMN st_vj:          V-band (Johnson) [mag]
# COLUMN st_us:          u-band (Sloan) [mag]
# COLUMN st_gs:          g-band (Sloan) [mag]
# COLUMN st_rs:          r-band (Sloan) [mag]
# COLUMN st_is:          i-band (Sloan) [mag]
# COLUMN st_zs:          z-band (Sloan) [mag]
# COLUMN st_j2:          J-band (2MASS) [mag]
# COLUMN st_h2:          H-band (2MASS) [mag]
# COLUMN st_k2:          Ks-band (2MASS) [mag]
# COLUMN st_wise1:       WISE 3.4um [mag]
# COLUMN st_wise2:       WISE 4.6um [mag]
# COLUMN st_wise3:       WISE 12.um [mag]
# COLUMN st_wise4:       WISE 22.um [mag]
# COLUMN st_bmvj:        B-V (Johnson) [mag]
# COLUMN st_jmh2:        J-H (2MASS) [mag]
# COLUMN st_hmk2:        H-Ks (2MASS) [mag]
# COLUMN st_jmk2:        J-Ks (2MASS) [mag]
#
rowid,epic_name,tm_name,epic_candname,pl_name,k2c_refdisp,k2c_reflink,k2c_disp,k2c_note,k2_campaign,k2c_recentflag,ra_str,ra,dec_str,dec,pl_orbper,pl_tranmid,pl_trandep,pl_trandur,pl_imppar,pl_orbincl,pl_ratdor,pl_ratror,pl_rade,pl_radj,pl_eqt,pl_fppprob,st_plx,st_dist,st_teff,st_logg,st_metfe,st_metratio,st_rad,st_vsini,st_kep,st_bj,st_vj,st_us,st_gs,st_rs,st_is,st_zs,st_j2,st_h2,st_k2,st_wise1,st_wise2,st_wise3,st_wise4,st_bmvj,st_jmh2,st_hmk2,st_jmk2
11,EPIC 201130233,2MASS J12150031-0546550,EPIC 201130233.01,K2-157 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,1,12h15m00.32s,183.751343,-05d46m55.2s,-5.781991,0.36525700,2457582.823890,,,,76.711,1.876041,0.01105,1.055,0.090,,1.000000e-04,,,5456.00,4.55,0.130,[Fe/H],0.88,,12.604,13.609,12.823,,13.162,12.582,12.365,,11.398,11.023,10.980,10.919,10.962,11.105,9.057,0.786,0.375,0.043,0.418
12,EPIC 201132684,2MASS J11594560-0543182,EPIC 201132684.02,K2-158 c,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,10.06049000,2457590.483400,0.070000,0.1583000,0.3800,,19.100000,0.02550,2.640,,794,,,,,,,,,,11.678,12.336,11.774,,12.119,11.571,11.490,,10.432,10.051,9.974,9.949,10.007,9.949,8.856,0.562,0.381,0.077,0.458
13,EPIC 201132684,2MASS J11594560-0543182,EPIC 201132684.01,K2-158 b,CONFIRMED,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CONFIRMED,,10,0,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,10.06210600,2457590.481730,,,,88.405,17.602997,0.02707,2.635,0.240,,1.000000e-04,,,5489.00,4.46,0.070,[Fe/H],0.89,,11.678,12.336,11.774,,12.119,11.571,11.490,,10.432,10.051,9.974,9.949,10.007,9.949,8.856,0.562,0.381,0.077,0.458
14,EPIC 201132684,2MASS J11594560-0543182,EPIC 201132684.01,K2-158 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,11h59m45.60s,179.939987,-05d43m18.2s,-5.721709,5.90279000,2457583.882800,0.015000,0.2083000,0.4100,,11.300000,0.01230,1.280,,948,,,,,,,,,,11.678,12.336,11.774,,12.119,11.571,11.490,,10.432,10.051,9.974,9.949,10.007,9.949,8.856,0.562,0.381,0.077,0.458
15,EPIC 201147085,2MASS J11353663-0521526,EPIC 201147085.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h35m36.64s,173.902664,-05d21m52.5s,-5.364592,1.17589000,2456810.740600,0.068600,0.0520000,,,6.300000,0.02540,0.860,,,,,,,,,,0.31,,14.519,,,,,,,,12.258,11.639,11.397,,,,,,0.619,0.242,0.861
16,EPIC 201152065,2MASS J11321051-0514499,EPIC 201152065.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h32m10.51s,173.043793,-05d14m49.9s,-5.247198,10.69660000,2456817.314700,0.055700,0.1350000,,,21.900000,0.02260,1.450,,,,,,,,,,0.59,,13.951,15.553,14.412,,15.006,13.949,13.499,,12.192,11.527,11.430,11.359,11.386,11.259,8.931,1.141,0.665,0.097,0.762
17,EPIC 201155177,2MASS J11463977-0510186,EPIC 201155177.01,K2-42 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68851000,2456814.674700,0.104200,0.1350000,,,14.000000,0.03130,2.250,,,,,,,,,,0.66,,14.632,16.096,15.023,,15.558,14.585,14.235,,12.982,12.398,12.284,12.270,12.314,12.120,8.632,1.073,0.584,0.114,0.698
18,EPIC 201155177,2MASS J11463977-0510186,EPIC 201155177.01,K2-42 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68796000,2456814.676300,,0.1267000,,,,0.03040,2.150,0.192,,5.200000e-07,,,4613.00,4.66,,,0.64,,14.632,16.096,15.023,,15.558,14.585,14.235,,12.982,12.398,12.284,12.270,12.314,12.120,8.632,1.073,0.584,0.114,0.698
19,EPIC 201155177,2MASS J11463977-0510186,EPIC 201155177.01,K2-42 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h46m39.77s,176.665726,-05d10m18.9s,-5.171913,6.68743520,2456814.676000,0.137000,0.1291667,0.0000,,,0.03239,2.790,0.249,,,,,4476.00,,,,0.69,,14.632,16.096,15.023,,15.558,14.585,14.235,,12.982,12.398,12.284,12.270,12.314,12.120,8.632,1.073,0.584,0.114,0.698
20,EPIC 201160662,2MASS J11395946-0502248,EPIC 201160662.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h39m59.47s,174.997787,-05d02m24.8s,-5.040235,1.53741150,2456810.497140,1.456400,0.0992000,,,3.590000,0.25900,45.000,,,,,,,,,,1.60,,12.122,12.554,12.161,,12.276,12.071,12.006,,11.163,10.848,10.797,10.711,10.688,10.459,8.865,0.393,0.315,0.051,0.366
21,EPIC 201164625,2MASS J12062248-0456481,EPIC 201164625.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,12h06m22.48s,181.593658,-04d56m48.1s,-4.946688,2.71189000,2457583.136200,0.020000,0.1292000,0.4300,,5.500000,0.01210,4.340,,2336,,,,,,,,,,11.919,12.012,11.461,,12.104,11.858,11.767,,11.002,10.791,10.777,10.698,10.719,10.651,8.032,0.551,0.211,0.014,0.225
22,EPIC 201166680,2MASS J12042913-0453572,EPIC 201166680.02,K2-243 b,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,11.54182000,2457593.206200,0.016000,0.1542000,0.3900,,21.200000,0.01440,2.170,,1035,,,,,,,,,,10.897,11.507,10.970,,11.044,10.848,10.857,,9.852,9.637,9.591,9.539,9.597,9.489,8.160,0.537,0.215,0.046,0.261
23,EPIC 201166680,2MASS J12042913-0453572,EPIC 201166680.03,K2-243 c,CONFIRMED,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CONFIRMED,,10,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,24.94598000,2457584.505000,0.019000,0.2167000,0.4000,,35.600000,0.01330,2.010,,801,,,,,,,,,,10.897,11.507,10.970,,11.044,10.848,10.857,,9.852,9.637,9.591,9.539,9.597,9.489,8.160,0.537,0.215,0.046,0.261
24,EPIC 201166680,2MASS J12042913-0453572,EPIC 201166680.01,,CANDIDATE,<a refstr=MAYO_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018arXiv180205277M/abstract target=ref>Mayo et al. 2018</a>,CANDIDATE,,10,1,12h04m29.14s,181.121399,-04d53m57.1s,-4.899185,18.10549000,2457598.193300,,,,88.945,26.263676,0.01572,2.100,0.190,,1.730000e-03,,,6213.00,4.32,0.140,[Fe/H],1.22,,10.897,11.507,10.970,,11.044,10.848,10.857,,9.852,9.637,9.591,9.539,9.597,9.489,8.160,0.537,0.215,0.046,0.261
25,EPIC 201176672,2MASS J11163606-0439236,EPIC 201176672.01,,CANDIDATE,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CANDIDATE,,1,1,11h16m36.05s,169.150208,-04d39m23.6s,-4.656546,79.99990000,2456877.804600,,0.4896000,,,,0.18000,10.200,0.910,,9.400000e-02,,,4542.00,4.75,,,0.51,,13.980,15.355,14.318,,14.875,13.932,13.596,,12.315,11.741,11.604,11.565,11.575,11.614,9.147,1.037,0.574,0.137,0.711
26,EPIC 201176672,2MASS J11163606-0439236,EPIC 201176672.02,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h16m36.05s,169.150208,-04d39m23.6s,-4.656546,,2456877.803800,3.060000,0.6030000,,,,0.39000,30.000,,,,,,,,,,0.71,,13.980,15.355,14.318,,14.875,13.932,13.596,,12.315,11.741,11.604,11.565,11.575,11.614,9.147,1.037,0.574,0.137,0.711
27,EPIC 201180665,2MASS J12164075-0433371,EPIC 201180665.01,,CANDIDATE,<a refstr=LIVINGSTON_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018AJ....156...78L/abstract target=ref>Livingston et al. 2018</a>,CANDIDATE,,10,1,12h16m40.76s,184.169815,-04d33m37.3s,-4.560360,17.77297000,2457586.498600,3.662000,0.1208000,0.6800,,33.300000,0.18920,26.440,,830,,,,,,,,,,13.080,13.881,13.265,,13.466,13.091,12.915,,12.008,11.686,11.650,11.635,11.660,11.648,8.589,0.616,0.322,0.036,0.358
28,EPIC 201182911,2MASS J11305050-0430273,EPIC 201182911.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,1,11h30m50.50s,172.710419,-04d30m27.4s,-4.507613,0.99656225,2456811.090000,35.500000,0.0941667,0.5300,,,0.62560,32.800,2.926,,,,,3727.00,,,,0.50,,15.516,17.939,16.341,,16.864,15.697,14.938,,13.238,12.544,12.335,12.310,12.257,11.748,8.648,1.598,0.694,0.209,0.903
29,EPIC 201197348,2MASS J11482278-0409517,EPIC 201197348.01,,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CANDIDATE,,1,0,11h48m22.79s,177.094971,-04d09m51.8s,-4.164393,14.91238100,2456825.111000,0.252000,0.1262500,0.2100,,,0.04445,3.550,0.317,,,,,4224.00,,,,0.65,,15.135,16.819,15.520,,16.227,14.988,14.667,,13.239,12.585,12.424,12.393,12.464,12.151,8.547,1.299,0.654,0.161,0.815
30,EPIC 201197348,2MASS J11482278-0409517,EPIC 201197348.01,,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CANDIDATE,,1,1,11h48m22.79s,177.094971,-04d09m51.8s,-4.164393,14.91390000,2456825.110800,0.240000,0.1360000,,,32.600000,0.04600,3.240,,,,,,,,,,0.65,,15.135,16.819,15.520,,16.227,14.988,14.667,,13.239,12.585,12.424,12.393,12.464,12.151,8.547,1.299,0.654,0.161,0.815
31,EPIC 201205469,2MASS J11162811-0358315,EPIC 201205469.01,K2-43 b,CONFIRMED,<a refstr=DRESSING_ET_AL__2017 href=https://ui.adsabs.harvard.edu/abs/2017arXiv170307416D/abstract target=ref>Dressing et al. 2017</a>,CONFIRMED,,1,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47134000,2456809.881000,,,,88.880,13.510000,0.07400,4.760,0.425,,3.600000e-08,,,,,,,,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,11.460,11.432,11.138,9.033,1.658,0.710,0.135,0.845
32,EPIC 201205469,2MASS J11162811-0358315,EPIC 201205469.01,K2-43 b,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47113600,2456813.356300,0.665000,0.0852000,,,12.800000,0.07750,5.160,,,,,,,,,,0.61,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,11.460,11.432,11.138,9.033,1.658,0.710,0.135,0.845
33,EPIC 201205469,2MASS J11162811-0358315,EPIC 201205469.01,K2-43 b,CONFIRMED,<a refstr=CROSSFIELD_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..226....7C/abstract target=ref>Crossfield et al. 2016</a>,CONFIRMED,,1,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47114000,2456809.884500,,0.0821000,,,,0.06600,4.130,0.368,,9.700000e-10,,,3939.00,4.70,,,0.57,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,11.460,11.432,11.138,9.033,1.658,0.710,0.135,0.845
34,EPIC 201205469,2MASS J11162811-0358315,EPIC 201205469.01,K2-43 b,CANDIDATE,<a refstr=VANDERBURG_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJS..222...14V/abstract target=ref>Vanderburg et al. 2016</a>,CONFIRMED,,1,0,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,3.47128500,2456813.353000,0.638000,0.0891667,0.6900,,,0.07773,4.370,0.390,,,,,3720.00,,,,0.50,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,11.460,11.432,11.138,9.033,1.658,0.710,0.135,0.845
35,EPIC 201205469,2MASS J11162811-0358315,EPIC 201205469.02,K2-43 c,CANDIDATE,<a refstr=KRUSE_ET_AL__2019 href=https://ui.adsabs.harvard.edu/abs/2019arXiv190710806K/abstract target=ref>Kruse et al. 2019</a>,CONFIRMED,,1,1,11h16m28.11s,169.117142,-03d58m31.6s,-3.975440,2.19945000,2456810.394300,0.163000,0.0600000,,,10.400000,0.03910,2.600,,,,,,,,,,0.61,,14.887,17.254,15.596,,16.504,15.037,14.194,,12.422,11.712,11.577,11.460,11.432,11.138,9.033,1.658,0.710,0.135,0.845
